姓名,性别,出生年份,出生地,长度,名,名1,笔画1,偏旁1,拼音1,常用1,名2,笔画2,偏旁2,拼音2,常用2
刘英传,男,1964,辽宁省大石桥市,3,英传,英,8,艹,yīng,1,传,6,亻,chuán,1
严联辉,男,1930,江西金溪,3,联辉,联,12,耳,lián,1,辉,12,车,huī,1
梁中秀,男,1955,山西平遥,3,中秀,中,4,丨,zhōng,1,秀,7,禾,xiù,1
程强斌,男,1987,甘肃秦安,3,强斌,强,12,弓,qiáng,1,斌,12,文,bīn,3
戴贤才,男,1924,湖南安化,3,贤才,贤,8,贝,xián,1,才,3,扌,cái,1
谯文成,男,1968,四川达县,3,文成,文,4,文,wén,1,成,6,戈,chéng,1
揭志明,男,1948,安徽六安,3,志明,志,7,心,zhì,1,明,8,日,míng,1
李安俊,男,1954,河南省新乡县七里营镇刘庄村,3,安俊,安,6,宀,ān,1,俊,9,亻,jùn,1
温孚江,男,1955,山东龙口,3,孚江,孚,7,子,fú,3,江,6,氵,jiāng,1
尤剑鹏,男,1961,吉林长春,3,剑鹏,剑,9,刂,jiàn,1,鹏,13,鸟,péng,2
蔡书雅,女,2008,北京,3,书雅,书,4,乛,shū,1,雅,12,隹,yǎ,1
李武好,男,1968,安徽枞阳,3,武好,武,8,止,wǔ,1,好,6,女,hǎo,1
刘秀桦,女,2008,广东潮州,3,秀桦,秀,7,禾,xiù,1,桦,10,木,huà,2
彭乙芯,女,2008,陕西,3,乙芯,乙,1,乙,yǐ,1,芯,7,艹,xīn,2
毛甜懿,女,2008,北京,3,甜懿,甜,11,甘,tián,1,懿,22,心,yì,3
李宗双,男,1963,湖北武汉,3,宗双,宗,8,宀,zōng,1,双,4,又,shuāng,1
刘江年,男,1963,贵州务川,3,江年,江,6,氵,jiāng,1,年,6,干,nián,1
刘景翼,男,1936,河南襄城,3,景翼,景,12,日,jǐng,1,翼,17,羽,yì,1
寻民传,男,1930,山西太原,3,民传,民,5,氏,mín,1,传,6,亻,chuán,1
张籽沐,女,2008,安徽省六安市,3,籽沐,籽,9,米,zǐ,2,沐,7,氵,mù,2
温其辉,男,1961,广东顺德,3,其辉,其,8,八,qí,1,辉,12,车,huī,1
孙有声,男,1939,江苏武进,3,有声,有,6,月,yǒu,1,声,7,士,shēng,1
郑伯萍,男,1942,上海,3,伯萍,伯,7,亻,bó,1,萍,11,艹,píng,1
何先美,男,1966,贵州德江,3,先美,先,6,儿,xiān,1,美,9,羊,měi,1
潘玉忠,男,1946,山东新泰,3,玉忠,玉,5,玉,yù,1,忠,8,心,zhōng,1
严小龙,男,1960,广东阳春,3,小龙,小,3,小,xiǎo,1,龙,5,龙,lóng,1
王鲁彬,男,1958,河南商水,3,鲁彬,鲁,12,鱼,lǔ,1,彬,11,彡,bīn,2
罗育德,男,1971,河南郑州,3,育德,育,8,月,yù,1,德,15,彳,dé,1
胡敏强,男,1961,江苏省丹阳市,3,敏强,敏,11,攵,mǐn,1,强,12,弓,qiáng,1
何昭红,男,1963,广西横县,3,昭红,昭,9,日,zhāo,2,红,6,纟,hóng,1
孙家炳,男,1940,湖南,3,家炳,家,10,宀,jiā,1,炳,9,火,bǐng,3
夏欣才,男,1974,江苏高淳,3,欣才,欣,8,欠,xīn,1,才,3,扌,cái,1
余遵义,男,1956,江西上饶,3,遵义,遵,15,辶,zūn,1,义,3,丶,yì,1
徐季桢,男,1954,四川彭州,3,季桢,季,8,子,jì,1,桢,10,木,zhēn,3
金世佳,男,1986,上海,3,世佳,世,5,一,shì,1,佳,8,亻,jiā,1
陈明矿,男,1972,江苏盐城,3,明矿,明,8,日,míng,1,矿,8,石,kuàng,1
蒋迪骉,男,1972,湖南省邵阳,3,迪骉,迪,8,辶,dí,3,骉,9,马,biāo,3
毛晓沪,男,1951,上海,3,晓沪,晓,10,日,xiǎo,1,沪,7,氵,hù,2
唐园结,男,1959,重庆,3,园结,园,7,囗,yuán,1,结,9,纟,jié,1
里强,男,1968,黑龙江,2,强,强,12,弓,qiáng,1,强,0,0,0,0
王延霞,女,2008,四川雅安芦山县,3,延霞,延,6,廴,yán,1,霞,17,雨,xiá,1
刘乐珊,女,2008,北京,3,乐珊,乐,5,丿,lè,1,珊,9,王,shān,2
罗欣荣,男,1953,广东省信宜,3,欣荣,欣,8,欠,xīn,1,荣,9,艹,róng,1
代雯奇,女,2008,江西九江,3,雯奇,雯,12,雨,wén,3,奇,8,大,qí,1
小思阳,女,2008,北京,3,思阳,思,9,心,sī,1,阳,6,阝,yáng,1
宋军继,男,1965,山东招远市,3,军继,军,6,冖,jūn,1,继,10,纟,jì,1
张联东,男,1968,江苏宿迁,3,联东,联,12,耳,lián,1,东,5,一,dōng,1
张嘉灏,女,2007,上海徐汇区,3,嘉灏,嘉,14,口,jiā,1,灏,21,氵,hào,3
白红战,男,1957,河南新郑,3,红战,红,6,纟,hóng,1,战,9,戈,zhàn,1
姚萍屏,男,1969,湖南双峰县,3,萍屏,萍,11,艹,píng,1,屏,9,尸,píng,2
翁长江,男,1961,黑龙江省林口县,3,长江,长,4,长,cháng,1,江,6,氵,jiāng,1
臧学鹏,男,1949,黑龙江齐齐哈尔,3,学鹏,学,8,子,xué,1,鹏,13,鸟,péng,2
方柏山,男,1957,北京,3,柏山,柏,9,木,bǎi,1,山,3,山,shān,1
乔明汉,男,1974,甘肃武都,3,明汉,明,8,日,míng,1,汉,5,氵,hàn,1
