Given1,Given2,Gender,Py1,Py2,IPA1,IPA2,open_syll_p,hi_nuc_p,bk_nuc_p,rd_nuc_p,ons_p,obsr_ons_p,non_cor_ons_p
天,慧,0,tiān,huì,tʰjɛn,xwej,0.5,0.0,0.0,0.0,1.0,1.0,0.5
眉,君,0,méi,jūn,mej,tɕyn,0.5,0.5,0.0,0.5,1.0,0.5,0.5
溪,0,0,xī,0,ɕi,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
安,格,0,ān,gé,an,kɤ,0.5,0.0,0.5,0.0,0.5,1.0,1.0
佑,芳,0,yòu,fāng,jəw,faŋ,0.5,0.0,0.0,0.0,0.5,1.0,1.0
琴,芳,0,qín,fāng,tɕʰin,faŋ,0.0,0.5,0.0,0.0,1.0,1.0,0.5
振,英,0,zhèn,yīng,tʂən,iŋ,0.0,0.5,0.0,0.0,0.5,1.0,0.0
洙,0,0,zhū,0,tʂu,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
右,莲,0,yòu,lián,jəw,ljɛn,0.5,0.0,0.0,0.0,0.5,0.0,0.0
一,虹,0,yī,hóng,i,xuŋ,0.5,1.0,0.5,0.5,0.5,1.0,1.0
云,珍,0,yún,zhēn,yn,tʂən,0.0,0.5,0.0,0.5,0.5,1.0,0.0
芙,白,0,fú,bái,fu,paj,1.0,0.5,0.5,0.5,1.0,1.0,1.0
鹿,希,0,lù,xī,lu,ɕi,1.0,1.0,0.5,0.5,1.0,0.5,0.0
小,薇,0,xiǎo,wēi,ɕjaw,wej,1.0,0.0,0.0,0.0,0.5,1.0,0.0
君,廉,0,jūn,lián,tɕyn,ljɛn,0.0,0.5,0.0,0.5,1.0,0.5,0.0
爱,琴,0,ài,qín,aj,tɕʰin,0.5,0.5,0.0,0.0,0.5,1.0,0.0
汝,有,0,rǔ,yǒu,ʐu,jəw,1.0,0.5,0.5,0.5,0.5,1.0,0.0
敏,锐,0,mǐn,ruì,min,ʐwej,0.5,0.5,0.0,0.0,1.0,0.5,0.5
汝,清,0,rǔ,qīng,ʐu,tɕʰiŋ,0.5,1.0,0.5,0.5,1.0,1.0,0.0
汝,恺,0,rǔ,kǎi,ʐu,kʰaj,1.0,0.5,0.5,0.5,1.0,1.0,0.5
之,林,0,zhī,lín,tʂʅ,lin,0.5,0.5,0.0,0.0,1.0,0.5,0.0
小,爱,0,xiǎo,ài,ɕjaw,aj,1.0,0.0,0.0,0.0,0.5,1.0,0.0
婉,华,0,wǎn,huá,wan,xwa,0.5,0.0,0.0,0.0,0.5,1.0,1.0
雪,仙,0,xuě,xiān,ɕɥɛ,ɕjɛn,0.5,0.0,0.0,0.0,1.0,1.0,0.0
莺,0,0,yīng,0,iŋ,0,0.0,1.0,0.0,0.0,0.0,0,0
院,生,0,yuàn,shēng,ɥan,ʂəŋ,0.0,0.0,0.0,0.0,0.5,1.0,0.0
在,霞,0,zài,xiá,tsaj,ɕja,1.0,0.0,0.0,0.0,1.0,1.0,0.0
家,仪,0,jiā,yí,tɕja,i,1.0,0.5,0.0,0.0,0.5,1.0,0.0
兰,珍,0,lán,zhēn,lan,tʂən,0.0,0.0,0.0,0.0,1.0,0.5,0.0
永,坚,0,yǒng,jiān,yŋ,tɕjɛn,0.0,0.5,0.0,0.5,0.5,1.0,0.0
佑,福,0,yòu,fú,jəw,fu,1.0,0.5,0.5,0.5,0.5,1.0,1.0
广,立,0,guǎng,lì,kwaŋ,li,0.5,0.5,0.0,0.0,1.0,0.5,0.5
桂,琴,0,guì,qín,kwej,tɕʰin,0.5,0.5,0.0,0.0,1.0,1.0,0.5
兰,芝,0,lán,zhī,lan,tʂʅ,0.5,0.0,0.0,0.0,1.0,0.5,0.0
淑,珍,0,shū,zhēn,ʂu,tʂən,0.5,0.5,0.5,0.5,1.0,1.0,0.0
秋,霞,0,qiū,xiá,tɕʰjəw,ɕja,1.0,0.0,0.0,0.0,1.0,1.0,0.0
润,芝,0,rùn,zhī,ʐwən,tʂʅ,0.5,0.0,0.0,0.0,1.0,1.0,0.0
